attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
16,0,1,0,12,0,15,2,26,1449
5,0,0,0,6,0,8,2,26,1450
8,0,0,0,10,0,130,2,26,1451
12,0,1,1,2,0,36,2,26,1452
51,1,5,0,22,0,42,2,26,1453
28,0,3,0,16,0,99,2,26,1454
0,0,0,0,0,0,0,2,26,1455
112,9,7,0,12,1,15,2,26,1456
4,0,0,0,4,0,47,2,26,1457
14,0,2,0,2,0,15,2,26,1458
3,0,0,0,4,1,15,2,26,1459
304,22,11,0,84,1,94,2,26,1460
20,0,2,0,13,0,19,2,26,1461
7,0,0,0,11,0,22,2,26,1462
0,0,0,0,0,0,0,2,26,1463
31,0,2,0,28,0,39,2,26,1464
26,0,2,1,16,0,66,2,26,1465
