attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
1;0;0;0;2;0;4;4;54;777
1;0;0;0;2;0;30;4;54;780
0;0;0;0;0;0;35;4;54;796
0;0;0;0;0;0;7;4;54;872
0;0;0;0;0;0;6;4;54;910
0;0;0;0;0;0;10;4;54;1036
0;0;0;0;0;0;10;4;54;1047
0;0;0;0;0;0;15;4;54;1061
0;0;0;0;0;0;7;4;54;1064
0;0;0;0;0;0;4;4;54;1085
0;0;0;0;0;0;1;4;54;1112
0;0;0;0;0;0;10;4;54;1114
0;0;0;0;0;0;4;4;54;1169
12;0;1;0;7;0;30;4;54;1182
7;0;0;0;11;0;6;4;54;1183
5;0;0;0;8;0;39;4;54;1186
2;0;0;0;3;0;12;4;54;1189
0;0;0;0;0;0;24;4;54;1194
0;0;0;0;0;0;9;4;54;1196
3;0;0;0;8;0;26;4;54;1209
62;4;3;0;19;0;48;5;71;31
26;1;1;0;28;0;12;5;71;89
20;1;2;0;3;0;11;5;71;124
20;1;2;0;1;0;3;5;71;130
19;0;1;0;32;2;0;5;71;136
18;1;2;0;0;0;0;5;71;141
18;1;2;0;0;0;0;5;71;143
16;1;1;0;6;0;18;5;71;159
15;0;2;0;6;0;0;5;71;177
14;0;2;0;4;0;0;5;71;185
14;0;2;0;2;0;0;5;71;194
13;0;2;0;3;0;0;5;71;197
13;0;2;0;1;0;0;5;71;201
13;0;1;0;9;0;14;5;71;209
13;1;1;0;0;0;0;5;71;210
12;0;1;0;6;0;0;5;71;218
11;0;2;0;0;0;0;5;71;235
11;0;1;0;8;0;11;5;71;241
10;0;0;0;24;0;12;5;71;260
10;0;1;0;5;0;0;5;71;262
10;0;1;0;8;0;65;5;71;268
9;0;1;0;3;1;0;5;71;275
9;0;1;0;3;0;0;5;71;276
9;0;1;0;4;0;0;5;71;277
9;0;0;0;11;0;0;5;71;282
9;0;1;0;3;0;0;5;71;289
9;0;1;0;1;0;0;5;71;301
8;0;1;0;3;0;0;5;71;302
8;0;1;0;2;0;0;5;71;303
8;0;1;0;2;0;0;5;71;305
8;0;1;0;2;0;0;5;71;310
8;0;1;0;1;0;0;5;71;311
8;0;1;0;2;0;0;5;71;312
8;0;1;0;2;0;0;5;71;313
8;0;1;0;2;0;0;5;71;314
8;0;1;0;2;0;0;5;71;315
8;0;1;0;2;0;0;5;71;316
8;0;1;0;2;0;0;5;71;317
